# Track_ID Start_Frame End_Frame Lifespan_Frames
0 1 41 41
1 1 9 9
2 1 4 4
3 1 4 4
4 1 19 19
5 1 4 4
6 1 3 3
7 1 3 3
8 1 3 3
9 1 3 3
10 1 3 3
11 1 3 3
12 1 11 11
13 2 4 3
14 2 2 1
15 2 3 2
16 3 4 2
17 3 4 2
18 3 4 2
19 4 4 1
20 4 4 1
21 4 4 1
22 5 16 12
23 5 11 7
24 6 50 45
25 6 29 24
26 7 10 4
27 7 57 51
28 8 12 5
29 8 19 12
30 8 13 6
31 8 22 15
32 8 67 60
33 8 10 3
34 8 28 21
35 9 13 5
36 9 9 1
37 9 15 7
38 9 22 14
39 9 25 17
40 10 10 1
41 10 25 16
42 10 22 13
43 10 12 3
44 11 17 7
45 11 17 7
46 12 16 5
47 12 13 2
48 13 13 1
49 13 43 31
50 13 13 1
51 13 21 9
52 15 63 49
53 15 30 16
54 15 15 1
55 16 43 28
56 16 16 1
57 17 18 2
58 17 17 1
59 17 25 9
60 18 20 3
61 19 20 2
62 19 19 1
63 19 19 1
64 20 27 8
65 20 20 1
66 21 51 31
67 22 25 4
68 22 22 1
69 22 27 6
70 22 53 32
71 22 54 33
72 23 38 16
73 24 24 1
74 25 37 13
75 25 25 1
76 25 26 2
77 25 50 26
78 25 34 10
79 25 39 15
80 26 31 6
81 26 26 1
82 27 27 1
83 27 59 33
84 28 48 21
85 28 31 4
86 29 29 1
87 29 31 3
88 29 29 1
89 30 40 11
90 30 44 15
91 30 40 11
92 31 37 7
93 31 41 11
94 33 35 3
95 33 34 2
96 35 59 25
97 36 37 2
98 38 38 1
99 38 49 12
100 40 63 24
101 40 44 5
102 40 41 2
103 41 60 20
104 41 51 11
105 41 78 38
106 42 60 19
107 42 94 53
108 42 42 1
109 42 42 1
110 42 53 12
111 43 47 5
112 43 44 2
113 44 48 5
114 45 50 6
115 45 54 10
116 46 46 1
117 46 57 12
118 49 59 11
119 49 59 11
120 50 50 1
121 50 51 2
122 51 52 2
123 51 56 6
124 52 52 1
125 52 71 20
126 52 65 14
127 52 59 8
128 53 56 4
129 53 55 3
130 54 54 1
131 55 69 15
132 55 56 2
133 55 56 2
134 55 58 4
135 57 59 3
136 59 59 1
137 59 60 2
138 60 77 18
139 61 61 1
140 61 61 1
141 62 69 8
142 62 77 16
143 62 67 6
144 62 71 10
145 62 67 6
146 63 63 1
147 63 96 34
148 63 63 1
149 64 65 2
150 64 64 1
151 64 64 1
152 64 69 6
153 64 69 6
154 64 81 18
155 64 75 12
156 64 68 5
157 64 70 7
158 64 64 1
159 64 69 6
160 65 68 4
161 65 65 1
162 66 72 7
163 66 66 1
164 66 75 10
165 67 69 3
166 68 70 3
167 68 71 4
168 68 68 1
169 68 70 3
170 69 69 1
171 69 101 33
172 69 69 1
173 70 75 6
174 70 88 19
175 70 82 13
176 70 71 2
177 71 72 2
178 71 73 3
179 71 72 2
180 71 77 7
181 71 75 5
182 71 71 1
183 72 73 2
184 72 100 29
185 72 74 3
186 72 75 4
187 73 86 14
188 73 81 9
189 74 75 2
190 74 84 11
191 74 82 9
192 75 76 2
193 76 91 16
194 76 77 2
195 76 76 1
196 76 77 2
197 77 78 2
198 77 101 25
199 77 80 4
200 77 77 1
